Mass 0%h2o 5%h2o 10%h2o 15%h2o 20%h2o 25%h2o 30%h2o 35%h2o 40%h2o 45%h2o 50%h2o 55%h2o 60%h2o 65%h2o 70%h2o 75%h2o 80%h2o 85%h2o 90%h2o 95%h2o 100%h2o
0.0625 0.46779999136924744 0.48260000348091125 0.4943000078201294 0.505299985408783 0.5157999992370605 0.5260000228881836 0.535099983215332 0.5435000061988831 0.5511999726295471 0.5587999820709229 0.566100001335144 0.5733000040054321 0.580299973487854 0.5871999859809875 0.5939000248908997 0.6004999876022339 0.6068000197410583 0.6129999756813049 0.6195999979972839 0.6256999969482422 0.6322000026702881
0.06699000298976898 0.4781999886035919 0.49320000410079956 0.5052000284194946 0.5164999961853027 0.5271999835968018 0.5376999974250793 0.5465999841690063 0.5551000237464905 0.5629000067710876 0.5706999897956848 0.5781999826431274 0.5853999853134155 0.5924999713897705 0.5996000170707703 0.6064000129699707 0.613099992275238 0.6195999979972839 0.6258999705314636 0.6323999762535095 0.638700008392334 0.6453999876976013
0.07179000228643417 0.4887999892234802 0.5041000247001648 0.5163999795913696 0.527899980545044 0.5389000177383423 0.5494999885559082 0.5583000183105469 0.5666999816894531 0.5748999714851379 0.5827999711036682 0.590399980545044 0.5978999733924866 0.6050999760627747 0.6121000051498413 0.6190999746322632 0.6259999871253967 0.6327000260353088 0.63919997215271 0.6453999876976013 0.6521999835968018 0.6588000059127808
0.07694999873638153 0.49959999322891235 0.5151000022888184 0.5277000069618225 0.5394999980926514 0.5508000254631042 0.5612999796867371 0.5702000260353088 0.5787000060081482 0.5870000123977661 0.5950000286102295 0.6029000282287598 0.6104999780654907 0.617900013923645 0.6251000165939331 0.632099986076355 0.6389999985694885 0.6459000110626221 0.6525999903678894 0.6589000225067139 0.6656000018119812 0.6723999977111816
0.08246999979019165 0.5105000138282776 0.5263000130653381 0.5392000079154968 0.5512999892234802 0.5629000067710876 0.5733000040054321 0.5823000073432922 0.5910000205039978 0.599399983882904 0.6075999736785889 0.6154999732971191 0.6233000159263611 0.6308000087738037 0.6381999850273132 0.6453999876976013 0.652400016784668 0.6593999862670898 0.6661999821662903 0.6729000210762024 0.6793000102043152 0.6862999796867371
0.08839000016450882 0.5216000080108643 0.5376999974250793 0.5508999824523926 0.5631999969482422 0.5752000212669373 0.5853000283241272 0.5945000052452087 0.6033999919891357 0.6121000051498413 0.6204000115394592 0.6284999847412109 0.6363000273704529 0.6439999938011169 0.6514999866485596 0.6589000225067139 0.666100025177002 0.6730999946594238 0.6801000237464905 0.6869999766349792 0.6934000253677368 0.7006000280380249
0.09472999721765518 0.5329999923706055 0.5493999719619751 0.5629000067710876 0.5756000280380249 0.5875999927520752 0.5975000262260437 0.6068999767303467 0.6159999966621399 0.6248999834060669 0.633400022983551 0.6416000127792358 0.6496999859809875 0.6575000286102295 0.6650999784469604 0.6725999712944031 0.6800000071525574 0.6872000098228455 0.6941999793052673 0.7013000249862671 0.7080000042915344 0.7150999903678894
0.1014999970793724 0.5446000099182129 0.5612999796867371 0.5751000046730042 0.5881999731063843 0.6000999808311462 0.6100999712944031 0.619700014591217 0.6290000081062317 0.6378999948501587 0.6466000080108643 0.6549999713897705 0.6632000207901001 0.6711999773979187 0.6790000200271606 0.6866000294685364 0.694100022315979 0.7014999985694885 0.7087000012397766 0.7159000039100647 0.7228999733924866 0.7299000024795532
0.1088000014424324 0.5564000010490417 0.5734000205993652 0.5874999761581421 0.6008999943733215 0.6128000020980835 0.6229000091552734 0.6327999830245972 0.6421999931335449 0.6513000130653381 0.660099983215332 0.6686000227928162 0.6769000291824341 0.6851000189781189 0.6930999755859375 0.7009000182151794 0.7085000276565552 0.7160999774932861 0.7235000133514404 0.7307000160217285 0.7379999756813049 0.7450000047683716
0.11659999936819077 0.5681999921798706 0.5856000185012817 0.6000999808311462 0.6137999892234802 0.6255000233650208 0.6359000205993652 0.6460000276565552 0.6556000113487244 0.664900004863739 0.6739000082015991 0.6826000213623047 0.6909999847412109 0.6992999911308289 0.7074000239372253 0.715499997138977 0.7232999801635742 0.73089998960495 0.7384999990463257 0.7459999918937683 0.7533000111579895 0.7605000138282776
0.125 0.5800999999046326 0.5978999733924866 0.6128000020980835 0.626800000667572 0.6384000182151794 0.6489999890327454 0.6593000292778015 0.6690999865531921 0.678600013256073 0.6877999901771545 0.6966999769210815 0.7053999900817871 0.7138000130653381 0.722000002861023 0.7301999926567078 0.7383000254631042 0.7461000084877014 0.7537999749183655 0.7615000009536743 0.7688999772071838 0.7764000296592712
0.1340000033378601 0.592199981212616 0.6103000044822693 0.6255999803543091 0.6396999955177307 0.6514000296592712 0.6622999906539917 0.6728000044822693 0.6829000115394592 0.6926000118255615 0.7020000219345093 0.7110999822616577 0.7199000120162964 0.728600025177002 0.7371000051498413 0.7452999949455261 0.7534999847412109 0.7616000175476074 0.7695000171661377 0.7773000001907349 0.7849000096321106 0.7924000024795532
0.1436000019311905 0.6043000221252441 0.6229000091552734 0.6384999752044678 0.6527000069618225 0.6646000146865845 0.6758000254631042 0.6865000128746033 0.6967999935150146 0.7067000269889832 0.7163000106811523 0.725600004196167 0.7347000241279602 0.7436000108718872 0.7523000240325928 0.7608000040054321 0.76910001039505 0.7773000001907349 0.7853999733924866 0.7932999730110168 0.8011999726295471 0.8087999820709229
0.15389999747276306 0.616599977016449 0.6355999708175659 0.6516000032424927 0.6658999919891357 0.6777999997138977 0.689300000667572 0.7002999782562256 0.7107999920845032 0.7210000157356262 0.7307999730110168 0.7404000163078308 0.7497000098228455 0.7588000297546387 0.767799973487854 0.7764999866485596 0.7850000262260437 0.7932999730110168 0.8015999794006348 0.8097000122070312 0.8177000284194946 0.8256000280380249
0.164900004863739 0.6291000247001648 0.6485000252723694 0.6650000214576721 0.6791999936103821 0.6912999749183655 0.7031000256538391 0.7142999768257141 0.7250000238418579 0.7354000210762024 0.7455000281333923 0.755299985408783 0.7649000287055969 0.7742999792098999 0.7833999991416931 0.7924000024795532 0.8011000156402588 0.8095999956130981 0.8180000185966492 0.8263999819755554 0.8345999717712402 0.8427000045776367
0.17679999768733978 0.6420000195503235 0.6618000268936157 0.6787999868392944 0.692799985408783 0.7052000164985657 0.717199981212616 0.7285000085830688 0.7394999861717224 0.75 0.7602999806404114 0.7705000042915344 0.7803000211715698 0.789900004863739 0.7993000149726868 0.8084999918937683 0.8173999786376953 0.826200008392334 0.8348000049591064 0.8432999849319458 0.8518000245094299 0.8600999712944031
0.18950000405311584 0.6554999947547913 0.6758000254631042 0.6931999921798706 0.7070000171661377 0.7196000218391418 0.7317000031471252 0.7432000041007996 0.7542999982833862 0.7649999856948853 0.7754999995231628 0.7857999801635742 0.7958999872207642 0.8057000041007996 0.8154000043869019 0.8248000144958496 0.8339999914169312 0.8431000113487244 0.8518999814987183 0.8605999946594238 0.8693000078201294 0.8777999877929688
