# %ECSV 1.0
# ---
# datatype:
# - {name: ST, datatype: string}
# - {name: WMF, datatype: float64}
# - {name: T_eq, datatype: float64}
# - {name: M_p, datatype: float64}
# - {name: Age, datatype: float64}
# - {name: R_b, datatype: float64}
# - {name: R_20mbar, datatype: float64}
# - {name: R_1mibar, datatype: float64}
# - {name: T_b, datatype: float64}
# - {name: T_int, datatype: float64}
# - {name: s_env, datatype: float64}
# - {name: I/MR^2, datatype: float64}
# - {name: L_env, datatype: float64}
# - {name: L_rad, datatype: float64}
# - {name: L_core, datatype: float64}
# - {name: L_grav, datatype: float64}
# - {name: u_tot, datatype: float64}
# meta: !!omap
# - comments: [Evolutionary tracks from the Steam Worlds Evolution Extended in Temperature model (Aguichine+2025), '', 'Model summary:',
#     'Earth-like core (32.5% iron-sulfur alloy, 67.5% mantle with Earth-like Fe/Si ratio)', Pure H2O envelope and pure H2O atmosphere
#       connected at P_b = 1000 bar, '', 'Parameters:', 'ST: Stellar Type (M or G), for radiative transfer in the atmosphere', 'WMF: Water
#       Mass Fraction, between 0.001 and 1', 'T_eq: Equilibrium temperature (K), between 500 K and 700 K', 'M_p: Planet mass (M_e), between
#       0.2 M_E and 20.0 M_E', 'Age: Host star age (Gyr), between 0.001 Gyr and 20 Gyr, assuming the planet formed at t_0 = 1 Myr (can
#       be adjusted)', '', 'Model outputs:', 'R_b: Planet radius (R_E) at 1000 bar', 'R_20mbar : Planet radius (R_E) at 20 mbar, pressure
#       level where pure steam is opaque at 1 micron', 'R_1mibar : Planet radius (R_E) at 1 microbar (0.1 Pa), pressure level of aerosols/haze
#       formation', 'T_b: Temperature (K) at 1000 bar)', 'T_int: Intrinsic temperature (K), nominal values are between 10 K and 400 K',
#     's_env: Specific entropy of H2O in the envelope (in J/K/kg)', 'I/MR^2: Normalized moment of inertia', '', 'Sources of energy for
#       the cooling, expressed as luminosities (in W):', 'L_env: energy from the H2O envelope (thermal + gravitational)', 'L_rad: radiogenic
#       heat produced in the core', 'L_core: thermal energy of the core', 'L_grav: gravitational energy of the core', 'u_tot: total energy
#       of the planet, obtained by fully integrating thermal (cp*T*dm) and gravitational energy', '', '', 'By construction:', L_env +
#       L_rad + L_core + L_grav = L_int = (4 * Pi * R_p**2) * (sigma_SB * T_int**4), d u_tot / d t = -L_int + L_rad, '', 'NB: The last
#       line of each track represents an estimate of the time until "full exhaustion".', '########################################################################################################',
#     ST    WMF    T_eq          M_p       Age       R_b  R_20mbar  R_1mibar       T_b     T_int           s_env          I/MR^2        L_env         L_rad        L_core        L_grav        u_tot]
# schema: astropy-2.0
ST WMF T_eq M_p Age R_b R_20mbar R_1mibar T_b T_int s_env I/MR^2 L_env L_rad L_core L_grav u_tot
M 0.001 400.0 0.2 0.001 0.64893 1.18359 1.31647 6563.86 933.21 16520.0 0.31804 0.0 0.0 0.0 0.0 -6.89738e+30
M 0.001 400.0 0.2 0.0015 0.62547 0.83241 0.89559 2923.55 220.05 13000.035 0.323065 397628000000000.0 53902400000000.0 2.41633e+16 2398110000000000.0 -1.27605e+31
M 0.001 400.0 0.2 0.002 0.62442 0.81833 0.88071 2694.93 177.91 12647.229 0.32329 168233000000000.0 53888000000000.0 1.02233e+16 1014620000000000.0 -1.30219e+31
M 0.001 400.0 0.2 0.003 0.62351 0.80755 0.86968 2491.02 145.49 12310.157 0.32349 74701900000000.0 53859400000000.0 4539540000000000.0 450531000000000.0 -1.32504e+31
M 0.001 400.0 0.2 0.005 0.6227 0.79838 0.8603 2319.24 118.43 12008.472 0.32366 32257200000000.0 53801800000000.0 1960230000000000.0 194544000000000.0 -1.34516e+31
M 0.001 400.0 0.2 0.01 0.62188 0.78735 0.84909 2142.02 95.43 11678.779 0.32383625 13105400000000.0 53658600000000.0 796400000000000.0 79039500000000.0 -1.36578e+31
M 0.001 400.0 0.2 0.02 0.62119 0.77572 0.83733 1996.11 78.55 11391.983 0.32398476 5578980000000.0 53375000000000.0 339027000000000.0 33647100000000.0 -1.38298e+31
M 0.001 400.0 0.2 0.03 0.62082 0.76974 0.83128 1926.14 71.17 11249.117 0.3240609 3504790000000.0 53092300000000.0 212982000000000.0 21137600000000.0 -1.39213e+31
M 0.001 400.0 0.2 0.05 0.62042 0.76214 0.8236 1830.97 61.89 11048.78 0.32415 1673790000000.0 52528900000000.0 101714000000000.0 10094700000000.0 -1.40218e+31
M 0.001 400.0 0.2 0.1 0.62 0.75541 0.81679 1740.64 53.91 10851.708 0.32424039 653194000000.0 51167300000000.0 39693800000000.0 3939440000000.0 -1.41275e+31
M 0.001 400.0 0.2 0.2 0.61969 0.75103 0.81236 1678.89 48.8 10712.768 0.32430919 226146000000.0 48583500000000.0 13742600000000.0 1363890000000.0 -1.42043e+31
M 0.001 400.0 0.2 0.5 0.61942 0.74774 0.80902 1626.82 44.95 10592.739 0.32436181 63787800000.0 41667300000000.0 3876300000000.0 384707000000.0 -1.42717e+31
M 0.001 400.0 0.2 1.0 0.61921 0.74521 0.80645 1586.89 41.99 10498.785 0.32441 45579800000.0 31946600000000.0 2769830000000.0 274894000000.0 -1.43245e+31
M 0.001 400.0 0.2 2.0 0.61883 0.74128 0.80245 1515.16 37.31 10325.514 0.32449 46765700000.0 18589000000000.0 2841890000000.0 282046000000.0 -1.44205e+31
M 0.001 400.0 0.2 5.0 0.6178 0.73318 0.79416 1332.28 27.28 9852.1183 0.32471 36994100000.0 3681300000000.0 2248080000000.0 223113000000.0 -1.46763e+31
M 0.001 400.0 0.2 10.0 0.61667 0.72713 0.7879 1143.86 18.88 9294.1945 0.32495 17258800000.0 249359000000.0 1048800000000.0 104089000000.0 -1.49589e+31
M 0.001 400.0 0.2 20.0 0.61592 0.72439 0.78502 1016.34 13.09 8841.1312 0.32511 4798990000.0 1204110000.0 291629000000.0 28942900000.0 -1.51449e+31
M 0.001 400.0 0.254855 0.001 0.69379 1.17986 1.30214 6563.86 981.45 16520.0 0.31372 0.0 0.0 0.0 0.0 -1.25683e+31
M 0.001 400.0 0.254855 0.0015 0.67125 0.86152 0.91916 2954.34 233.56 13045.636 0.32076 570103000000000.0 68686600000000.0 3.56474e+16 3161960000000000.0 -1.98737e+31
M 0.001 400.0 0.254855 0.002 0.67008 0.84755 0.90413 2732.15 188.33 12706.419 0.32112667 238813000000000.0 68668200000000.0 1.49325e+16 1324530000000000.0 -2.02521e+31
M 0.001 400.0 0.254855 0.003 0.66905 0.83718 0.89351 2523.0 154.59 12364.47 0.321446 107719000000000.0 68631700000000.0 6735450000000000.0 597441000000000.0 -2.05867e+31
M 0.001 400.0 0.254855 0.005 0.66813 0.82847 0.88458 2348.05 126.36 12060.246 0.321735 47493100000000.0 68558800000000.0 2969650000000000.0 263411000000000.0 -2.08844e+31
M 0.001 400.0 0.254855 0.01 0.6672 0.81864 0.87457 2167.43 101.06 11727.267 0.32202484 18768500000000.0 68376900000000.0 1173560000000000.0 104096000000000.0 -2.1184e+31
M 0.001 400.0 0.254855 0.02 0.66644 0.80787 0.86366 2013.39 82.53 11426.717 0.32226433 7782970000000.0 68013500000000.0 486654000000000.0 43166700000000.0 -2.14328e+31
M 0.001 400.0 0.254855 0.03 0.66603 0.80225 0.85796 1941.26 74.65 11280.301 0.32239323 4882260000000.0 67653800000000.0 305278000000000.0 27078500000000.0 -2.1562e+31
M 0.001 400.0 0.254855 0.05 0.66557 0.79544 0.85108 1850.14 65.38 11089.718 0.32253354 2474280000000.0 66934500000000.0 154712000000000.0 13723100000000.0 -2.17104e+31
M 0.001 400.0 0.254855 0.1 0.66509 0.78895 0.84451 1757.96 56.81 10890.036 0.32268515 1014510000000.0 65209100000000.0 63435200000000.0 5626770000000.0 -2.18679e+31
M 0.001 400.0 0.254855 0.2 0.66468 0.78466 0.84015 1695.1 51.36 10749.586 0.3228149 412615000000.0 61892400000000.0 25800000000000.0 2288490000000.0 -2.20025e+31
M 0.001 400.0 0.254855 0.5 0.66434 0.78067 0.83609 1626.96 46.1 10593.062 0.3229215 79328800000.0 53017600000000.0 4960270000000.0 439982000000.0 -2.21122e+31
M 0.001 400.0 0.254855 1.0 0.66415 0.77834 0.83374 1585.14 42.98 10494.623 0.32298 51013300000.0 40695600000000.0 3189760000000.0 282935000000.0 -2.21737e+31
M 0.001 400.0 0.254855 2.0 0.66379 0.7749 0.83022 1518.5 38.4 10333.702 0.32308927 62918500000.0 23719500000000.0 3934170000000.0 348965000000.0 -2.22869e+31
M 0.001 400.0 0.254855 5.0 0.66266 0.76732 0.82245 1337.8 28.13 9867.1732 0.32344101 48677700000.0 4689310000000.0 3043720000000.0 269981000000.0 -2.26552e+31
M 0.001 400.0 0.254855 10.0 0.6615 0.76165 0.81658 1151.14 19.73 9317.7027 0.32381 23561800000.0 318397000000.0 1473270000000.0 130681000000.0 -2.30321e+31
M 0.001 400.0 0.254855 20.0 0.66069 0.7591 0.81389 1028.05 13.76 8886.8058 0.32406 6645720000.0 1544910000.0 415544000000.0 36859200000.0 -2.32927e+31
M 0.001 400.0 0.32475535 0.001 0.74331 1.18446 1.29556 6563.86 1003.65 16520.0 0.31141 0.0 0.0 0.0 0.0 -2.14321e+31
M 0.001 400.0 0.32475535 0.0015 0.72012 0.89261 0.94456 2981.05 246.24 13084.852 0.31926 777291000000000.0 87525500000000.0 5.0638e+16 4552690000000000.0 -3.0961e+31
M 0.001 400.0 0.32475535 0.002 0.71881 0.87879 0.92953 2759.11 197.4 12748.864 0.3197 318226000000000.0 87502200000000.0 2.07314e+16 1863890000000000.0 -3.1497e+31
M 0.001 400.0 0.32475535 0.003 0.71768 0.86891 0.9194 2543.58 162.11 12399.156 0.320078 143867000000000.0 87455600000000.0 9372460000000000.0 842645000000000.0 -3.19626e+31
M 0.001 400.0 0.32475535 0.005 0.71667 0.86059 0.91086 2363.13 132.56 12087.15 0.32042273 63580800000000.0 87362600000000.0 4142080000000000.0 372400000000000.0 -3.23781e+31
M 0.001 400.0 0.32475535 0.01 0.71566 0.85124 0.90133 2170.42 104.14 11732.944 0.32077 23376400000000.0 87130300000000.0 1522900000000000.0 136919000000000.0 -3.2792e+31
M 0.001 400.0 0.32475535 0.02 0.71484 0.84251 0.89246 2028.83 86.5 11457.586 0.32104737 10466100000000.0 86667700000000.0 681830000000000.0 61301000000000.0 -3.31304e+31
M 0.001 400.0 0.32475535 0.03 0.71439 0.83712 0.887 1953.04 77.85 11304.472 0.32119184 6451520000000.0 86209300000000.0 420296000000000.0 37787300000000.0 -3.33101e+31
M 0.001 400.0 0.32475535 0.05 0.71389 0.83126 0.88105 1868.9 68.9 11129.486 0.32136776 3499190000000.0 85295400000000.0 227961000000000.0 20495200000000.0 -3.35189e+31
M 0.001 400.0 0.32475535 0.1 0.71331 0.8246 0.8743 1765.76 58.92 10907.225 0.32155939 1345490000000.0 83071300000000.0 87654000000000.0 7880670000000.0 -3.37549e+31
M 0.001 400.0 0.32475535 0.2 0.71289 0.82017 0.8698 1691.22 52.4 10740.783 0.32170309 469304000000.0 78846400000000.0 30573600000000.0 2748770000000.0 -3.39277e+31
M 0.001 400.0 0.32475535 0.5 0.71255 0.81692 0.8665 1631.94 47.62 10604.659 0.32182057 125603000000.0 67573400000000.0 8182600000000.0 735669000000.0 -3.40702e+31
M 0.001 400.0 0.32475535 1.0 0.71229 0.81472 0.86426 1588.97 44.4 10503.72 0.32190616 84166800000.0 51841700000000.0 5483190000000.0 492975000000.0 -3.41766e+31
M 0.001 400.0 0.32475535 2.0 0.71186 0.81132 0.86078 1520.05 39.38 10337.506 0.32204559 76426800000.0 30221500000000.0 4978950000000.0 447641000000.0 -3.43512e+31
M 0.001 400.0 0.32475535 5.0 0.71072 0.80449 0.85377 1341.68 28.94 9877.776 0.32244 60722100000.0 5985650000000.0 3955850000000.0 355656000000.0 -3.48205e+31
M 0.001 400.0 0.32475535 10.0 0.70945 0.79946 0.84859 1161.02 20.72 9349.3027 0.32286 32129900000.0 407382000000.0 2093160000000.0 188189000000.0 -3.53401e+31
M 0.001 400.0 0.32475535 20.0 0.70857 0.79691 0.84593 1035.49 14.32 8915.3209 0.32316492 8590610000.0 1973090000.0 559650000000.0 50316200000.0 -3.57057e+31
M 0.001 400.0 0.41382762 0.001 0.79641 1.19276 1.29268 6563.86 1026.33 16520.0 0.30984 0.0 0.0 0.0 0.0 -3.55554e+31
M 0.001 400.0 0.41382762 0.0015 0.77256 0.93057 0.97774 3017.15 260.92 13137.322 0.31816 1072370000000000.0 111532000000000.0 7.3464e+16 6637500000000000.0 -4.79261e+31
M 0.001 400.0 0.41382762 0.002 0.77104 0.91699 0.963 2783.66 208.43 12787.187 0.31869 434959000000000.0 111502000000000.0 2.97974e+16 2692210000000000.0 -4.87127e+31
M 0.001 400.0 0.41382762 0.003 0.76978 0.90715 0.9528 2564.37 169.8 12433.938 0.31913 189522000000000.0 111442000000000.0 1.29835e+16 1173060000000000.0 -4.9363e+31
M 0.001 400.0 0.41382762 0.005 0.76868 0.89915 0.94462 2375.52 138.41 12109.158 0.31951455 82768700000000.0 111324000000000.0 5670180000000000.0 512303000000000.0 -4.99347e+31
M 0.001 400.0 0.41382762 0.01 0.76757 0.89119 0.9365 2193.87 110.0 11777.276 0.31990231 32029200000000.0 111028000000000.0 2194200000000000.0 198247000000000.0 -5.05117e+31
M 0.001 400.0 0.41382762 0.02 0.76665 0.88332 0.92851 2045.5 90.69 11490.698 0.32022705 13983800000000.0 110440000000000.0 957981000000000.0 86553900000000.0 -5.09886e+31
M 0.001 400.0 0.41382762 0.03 0.76618 0.87758 0.92272 1955.37 80.06 11309.244 0.32038762 7915210000000.0 109851000000000.0 542242000000000.0 48991700000000.0 -5.12321e+31
M 0.001 400.0 0.41382762 0.05 0.76565 0.87246 0.91753 1875.15 71.33 11142.668 0.32057186 4457350000000.0 108697000000000.0 305357000000000.0 27589100000000.0 -5.15058e+31
M 0.001 400.0 0.41382762 0.1 0.76501 0.86672 0.91171 1780.5 61.85 10939.535 0.32079982 1926440000000.0 105862000000000.0 131973000000000.0 11923800000000.0 -5.18412e+31
M 0.001 400.0 0.41382762 0.2 0.7645 0.86225 0.90719 1699.67 54.53 10759.912 0.3209753 678744000000.0 100441000000000.0 46498300000000.0 4201130000000.0 -5.21039e+31
M 0.001 400.0 0.41382762 0.5 0.7641 0.85888 0.90376 1634.72 48.99 10611.12 0.32111448 165572000000.0 86090100000000.0 11342700000000.0 1024820000000.0 -5.23138e+31
M 0.001 400.0 0.41382762 1.0 0.76381 0.85684 0.9017 1590.55 45.65 10507.464 0.3212126 110544000000.0 66037500000000.0 7572940000000.0 684217000000.0 -5.24617e+31
M 0.001 400.0 0.41382762 2.0 0.76335 0.85364 0.89843 1521.12 40.42 10340.12 0.32137306 94517600000.0 38554800000000.0 6475050000000.0 585023000000.0 -5.27004e+31
M 0.001 400.0 0.41382762 5.0 0.76214 0.84726 0.89192 1345.1 29.72 9887.0696 0.32180087 74248600000.0 7636490000000.0 5086500000000.0 459567000000.0 -5.33278e+31
M 0.001 400.0 0.41382762 10.0 0.7608 0.84266 0.88715 1167.57 21.52 9370.0598 0.32226 41237100000.0 519513000000.0 2825000000000.0 255240000000.0 -5.40197e+31
M 0.001 400.0 0.41382762 20.0 0.75983 0.84004 0.88442 1042.45 14.88 8941.6033 0.3226055 10989700000.0 2518840000.0 752864000000.0 68021500000.0 -5.45236e+31
M 0.001 400.0 0.52733018 0.001 0.85339 1.21467 1.30608 6563.86 1051.93 16520.0 0.30837 0.0 0.0 0.0 0.0 -5.7796e+31
M 0.001 400.0 0.52733018 0.0015 0.82855 0.97171 1.01428 3035.41 271.61 13163.636 0.31742 1379250000000000.0 142122000000000.0 9.90427e+16 9167200000000000.0 -7.39762e+31
M 0.001 400.0 0.52733018 0.002 0.82693 0.95894 1.00043 2796.04 217.69 12806.394 0.318005 566992000000000.0 142084000000000.0 4.07152e+16 3768510000000000.0 -7.5029e+31
M 0.001 400.0 0.52733018 0.003 0.82557 0.94938 0.99041 2581.21 177.03 12461.961 0.318505 245414000000000.0 142008000000000.0 1.76229e+16 1631150000000000.0 -7.59185e+31
M 0.001 400.0 0.52733018 0.005 0.82437 0.94179 0.98264 2389.22 144.64 12133.412 0.31893909 108269000000000.0 141857000000000.0 7774710000000000.0 719611000000000.0 -7.67003e+31
M 0.001 400.0 0.52733018 0.01 0.82315 0.93455 0.97523 2211.14 115.42 11809.688 0.31937968 42693200000000.0 141482000000000.0 3065760000000000.0 283761000000000.0 -7.74939e+31
M 0.001 400.0 0.52733018 0.02 0.82214 0.92736 0.96792 2058.11 94.73 11515.636 0.31975371 18356000000000.0 140733000000000.0 1318120000000000.0 122003000000000.0 -7.8156e+31
M 0.001 400.0 0.52733018 0.03 0.82159 0.92233 0.96283 1968.73 83.79 11336.513 0.31995355 10544200000000.0 139972000000000.0 757168000000000.0 70081900000000.0 -7.85071e+31
M 0.001 400.0 0.52733018 0.05 0.82104 0.91715 0.95759 1879.03 73.65 11150.841 0.3201486 5594850000000.0 138510000000000.0 401761000000000.0 37186200000000.0 -7.88668e+31
M 0.001 400.0 0.52733018 0.1 0.82036 0.91192 0.95228 1785.44 63.98 10950.32 0.32039997 2473920000000.0 134897000000000.0 177650000000000.0 16442900000000.0 -7.93122e+31
M 0.001 400.0 0.52733018 0.2 0.81979 0.90792 0.94822 1708.94 56.76 10780.818 0.3206059 967518000000.0 127992000000000.0 69476500000000.0 6430610000000.0 -7.9681e+31
M 0.001 400.0 0.52733018 0.5 0.81927 0.90449 0.94473 1639.48 50.61 10622.177 0.32079407 249028000000.0 109639000000000.0 17882500000000.0 1655170000000.0 -8.00184e+31
M 0.001 400.0 0.52733018 1.0 0.81895 0.90249 0.9427 1592.58 46.97 10512.268 0.32091803 146238000000.0 84104000000000.0 10501200000000.0 971968000000.0 -8.02322e+31
M 0.001 400.0 0.52733018 2.0 0.81845 0.89954 0.93969 1521.73 41.59 10341.613 0.32110162 122606000000.0 49113700000000.0 8804220000000.0 814902000000.0 -8.05589e+31
M 0.001 400.0 0.52733018 5.0 0.81716 0.89362 0.93363 1347.19 30.61 9892.7356 0.32156515 94039900000.0 9740810000000.0 6752910000000.0 625036000000.0 -8.13937e+31
M 0.001 400.0 0.52733018 10.0 0.8158 0.88932 0.92918 1169.33 22.13 9375.6121 0.32206177 50500000000.0 661826000000.0 3626350000000.0 335648000000.0 -8.22825e+31
M 0.001 400.0 0.52733018 20.0 0.81477 0.88681 0.92656 1049.42 15.54 8967.6307 0.32243645 14321000000.0 3229070000.0 1028380000000.0 95184700000.0 -8.29553e+31
M 0.001 400.0 0.67196366 0.001 0.91389 1.23825 1.32068 6563.86 1079.1 16520.0 0.30731 0.0 0.0 0.0 0.0 -9.2759e+31
M 0.001 400.0 0.67196366 0.0015 0.88845 1.01872 1.05716 3067.71 285.48 13209.815 0.31659 1835960000000000.0 181102000000000.0 1.38567e+17 1.33231e+16 -1.13958e+32
M 0.001 400.0 0.67196366 0.002 0.88667 1.00639 1.04386 2814.02 228.19 12834.185 0.31724 746577000000000.0 181054000000000.0 5.63471e+16 5417730000000000.0 -1.1544e+32
M 0.001 400.0 0.67196366 0.003 0.8852 0.99727 1.0342 2606.54 185.86 12503.8 0.317778 325462000000000.0 180958000000000.0 2.45639e+16 2361800000000000.0 -1.16668e+32
M 0.001 400.0 0.67196366 0.005 0.88386 0.99013 1.02692 2413.11 152.76 12175.42 0.31826 147125000000000.0 180765000000000.0 1.11041e+16 1067650000000000.0 -1.17779e+32
M 0.001 400.0 0.67196366 0.01 0.88249 0.98317 1.01981 2226.19 120.76 11837.803 0.31876214 56097800000000.0 180285000000000.0 4233920000000000.0 407088000000000.0 -1.18922e+32
M 0.001 400.0 0.67196366 0.02 0.88141 0.97633 1.01288 2060.13 97.45 11519.637 0.31915677 22441900000000.0 179330000000000.0 1693780000000000.0 162856000000000.0 -1.19822e+32
M 0.001 400.0 0.67196366 0.03 0.88086 0.97262 1.00913 1987.32 88.21 11374.252 0.31936033 14344300000000.0 178376000000000.0 1082620000000000.0 104093000000000.0 -1.20282e+32
M 0.001 400.0 0.67196366 0.05 0.88021 0.96781 1.00425 1898.61 77.75 11191.908 0.31959372 7825950000000.0 176495000000000.0 590655000000000.0 56791000000000.0 -1.2082e+32
M 0.001 400.0 0.67196366 0.1 0.87944 0.96245 0.99883 1794.72 66.59 10970.531 0.31988154 3280920000000.0 171870000000000.0 247624000000000.0 23808800000000.0 -1.21467e+32
M 0.001 400.0 0.67196366 0.2 0.87884 0.9585 0.99484 1712.04 58.46 10787.792 0.32009887 1215230000000.0 163112000000000.0 91718500000000.0 8818660000000.0 -1.21964e+32
M 0.001 400.0 0.67196366 0.5 0.87828 0.95535 0.99164 1641.59 52.18 10627.057 0.32029948 338572000000.0 139641000000000.0 25553400000000.0 2456940000000.0 -1.22433e+32
M 0.001 400.0 0.67196366 1.0 0.87792 0.95339 0.98965 1593.83 48.21 10515.235 0.32043042 180621000000.0 107088000000000.0 13632200000000.0 1310720000000.0 -1.22728e+32
M 0.001 400.0 0.67196366 2.0 0.87743 0.95071 0.98693 1520.92 42.65 10339.632 0.32061353 146340000000.0 62563700000000.0 11044900000000.0 1061960000000.0 -1.23142e+32
M 0.001 400.0 0.67196366 5.0 0.87606 0.94537 0.98148 1354.03 31.88 9911.2178 0.32110649 129594000000.0 12416000000000.0 9781000000000.0 940436000000.0 -1.24278e+32
M 0.001 400.0 0.67196366 10.0 0.87459 0.94121 0.9772 1178.47 23.06 9404.2783 0.32165125 65664700000.0 843629000000.0 4955970000000.0 476513000000.0 -1.25508e+32
M 0.001 400.0 0.67196366 20.0 0.87347 0.93868 0.97458 1054.33 16.12 8985.7913 0.32205623 18120800000.0 4101920000.0 1367650000000.0 131498000000.0 -1.2644e+32
M 0.001 400.0 0.85626648 0.001 0.97842 1.2732 1.34824 6563.86 1103.8 16520.0 0.30639 0.0 0.0 0.0 0.0 -1.4749e+32
M 0.001 400.0 0.85626648 0.0015 0.9522 1.07122 1.106 3109.87 301.64 13269.421 0.31587 2515420000000000.0 230775000000000.0 1.98201e+17 1.92951e+16 -1.75529e+32
M 0.001 400.0 0.85626648 0.002 0.95022 1.05902 1.09287 2837.76 240.03 12870.619 0.31659 1004600000000000.0 230713000000000.0 7.91564e+16 7705950000000000.0 -1.77641e+32
M 0.001 400.0 0.85626648 0.003 0.94861 1.0498 1.08303 2624.86 193.73 12533.859 0.31717 422383000000000.0 230589000000000.0 3.32814e+16 3239980000000000.0 -1.79364e+32
M 0.001 400.0 0.85626648 0.005 0.94723 1.04284 1.07593 2419.45 158.05 12186.5 0.31767182 185381000000000.0 230344000000000.0 1.4607e+16 1422010000000000.0 -1.80844e+32
M 0.001 400.0 0.85626648 0.01 0.94583 1.03619 1.06915 2225.69 124.37 11836.879 0.3181737 69428000000000.0 229732000000000.0 5470540000000000.0 532562000000000.0 -1.82333e+32
M 0.001 400.0 0.85626648 0.02 0.9447 1.03061 1.06347 2077.48 102.37 11553.716 0.31858386 30329900000000.0 228512000000000.0 2389830000000000.0 232652000000000.0 -1.83537e+32
M 0.001 400.0 0.85626648 0.03 0.94411 1.02689 1.0597 1993.81 91.33 11387.354 0.31879765 18244000000000.0 227298000000000.0 1437520000000000.0 139944000000000.0 -1.84166e+32
M 0.001 400.0 0.85626648 0.05 0.94345 1.02252 1.05528 1905.92 80.59 11207.156 0.31903825 10048900000000.0 224902000000000.0 791797000000000.0 77082200000000.0 -1.84886e+32
M 0.001 400.0 0.85626648 0.1 0.94262 1.01766 1.05036 1805.74 69.4 10994.433 0.31933958 4416410000000.0 219007000000000.0 347988000000000.0 33876900000000.0 -1.85771e+32
M 0.001 400.0 0.85626648 0.2 0.94195 1.01377 1.04642 1718.08 60.51 10801.356 0.31957688 1622500000000.0 207798000000000.0 127844000000000.0 12445700000000.0 -1.86481e+32
M 0.001 400.0 0.85626648 0.5 0.94137 1.01068 1.04328 1641.35 53.55 10626.509 0.31978999 414724000000.0 177863000000000.0 32677900000000.0 3181230000000.0 -1.87105e+32
M 0.001 400.0 0.85626648 1.0 0.94102 1.00891 1.04148 1596.21 49.58 10520.887 0.31991967 229633000000.0 136735000000000.0 18093800000000.0 1761450000000.0 -1.87482e+32
M 0.001 400.0 0.85626648 2.0 0.94045 1.00646 1.039 1525.22 44.12 10350.154 0.32012337 213440000000.0 79725100000000.0 16817800000000.0 1637230000000.0 -1.88096e+32
M 0.001 400.0 0.85626648 5.0 0.93905 1.00135 1.03377 1350.8 32.54 9902.5118 0.32062528 150885000000.0 15809400000000.0 11888900000000.0 1157390000000.0 -1.89581e+32
M 0.001 400.0 0.85626648 10.0 0.93759 0.99758 1.02989 1185.11 23.91 9424.9188 0.32114934 83911000000.0 1076520000000.0 6611720000000.0 643657000000.0 -1.91141e+32
M 0.001 400.0 0.85626648 20.0 0.93638 0.99506 1.02728 1063.7 17.1 9020.0159 0.32159823 25279800000.0 5228970000.0 1991910000000.0 193914000000.0 -1.92445e+32
M 0.001 400.0 1.09111896 0.001 1.04707 1.31139 1.37879 6563.86 1129.42 16520.0 0.30557 0.0 0.0 0.0 0.0 -2.32602e+32
M 0.001 400.0 1.09111896 0.0015 1.02022 1.12781 1.15905 3138.4 314.78 13309.309 0.31526 3258390000000000.0 294070000000000.0 2.69265e+17 2.69003e+16 -2.69565e+32
M 0.001 400.0 1.09111896 0.002 1.01814 1.11649 1.14693 2861.75 251.95 12907.155 0.31601 1332150000000000.0 293992000000000.0 1.10086e+17 1.09979e+16 -2.72433e+32
M 0.001 400.0 1.09111896 0.003 1.01639 1.10758 1.13739 2646.68 203.12 12569.441 0.31664333 559993000000000.0 293835000000000.0 4.62763e+16 4623140000000000.0 -2.74841e+32
M 0.001 400.0 1.09111896 0.005 1.01489 1.10096 1.13063 2441.12 166.17 12224.244 0.31718 247759000000000.0 293520000000000.0 2.04741e+16 2045430000000000.0 -2.76909e+32
M 0.001 400.0 1.09111896 0.01 1.01336 1.09461 1.12417 2242.48 131.13 11868.062 0.31773111 94065300000000.0 292742000000000.0 7773310000000000.0 776576000000000.0 -2.79015e+32
M 0.001 400.0 1.09111896 0.02 1.01217 1.08931 1.11879 2083.44 105.97 11565.385 0.31816377 38138300000000.0 291190000000000.0 3151650000000000.0 314859000000000.0 -2.80656e+32
M 0.001 400.0 1.09111896 0.03 1.01156 1.08617 1.11561 2004.28 95.17 11408.434 0.31838067 23690400000000.0 289640000000000.0 1957710000000000.0 195581000000000.0 -2.81504e+32
M 0.001 400.0 1.09111896 0.05 1.01085 1.0822 1.11161 1915.36 83.93 11226.791 0.31864151 13096200000000.0 286589000000000.0 1082230000000000.0 108118000000000.0 -2.82481e+32
M 0.001 400.0 1.09111896 0.1 1.00998 1.07744 1.1068 1807.09 71.4 10997.365 0.31895425 5446210000000.0 279085000000000.0 450061000000000.0 44962400000000.0 -2.83664e+32
M 0.001 400.0 1.09111896 0.2 1.00933 1.0738 1.10312 1715.3 61.88 10795.121 0.3191853 1896090000000.0 264768000000000.0 156688000000000.0 15653600000000.0 -2.84561e+32
M 0.001 400.0 1.09111896 0.5 1.00874 1.07119 1.10047 1646.13 55.41 10637.577 0.31939959 596606000000.0 226702000000000.0 49301900000000.0 4925410000000.0 -2.85382e+32
M 0.001 400.0 1.09111896 1.0 1.0083 1.06944 1.0987 1599.84 51.21 10529.458 0.3195617 341321000000.0 174203000000000.0 28205800000000.0 2817840000000.0 -2.85979e+32
M 0.001 400.0 1.09111896 2.0 1.0077 1.06707 1.0963 1525.43 45.29 10350.668 0.31977287 259660000000.0 101535000000000.0 21457600000000.0 2143680000000.0 -2.86809e+32
M 0.001 400.0 1.09111896 5.0 1.00623 1.06248 1.09162 1362.35 34.12 9933.5891 0.32030396 218526000000.0 20169700000000.0 18058500000000.0 1804090000000.0 -2.88834e+32
