# %ECSV 0.9
# ---
# datatype:
# - name: metallicity_solar
#   datatype: float64
# - name: age_Gyr
#   datatype: float64
# - name: F_inc_oplus
#   datatype: float64
# - name: Mass_oplus
#   datatype: float64
# - name: f_env_pc
#   datatype: float64
# - name: R_oplus
#   datatype: float64
# schema: astropy-2.0
metallicity_solar age_Gyr F_inc_oplus Mass_oplus f_env_pc R_oplus
1.0 0.1 0.1 20.0 0.02 2.15
1.0 0.1 0.1 20.0 0.05 2.17
1.0 0.1 0.1 20.0 0.1 2.2
1.0 0.1 0.1 20.0 0.2 2.29
1.0 0.1 0.1 20.0 0.5 2.47
1.0 0.1 0.1 20.0 1.0 2.67
1.0 0.1 0.1 20.0 2.0 2.93
1.0 0.1 0.1 20.0 5.0 3.52
1.0 0.1 0.1 20.0 10.0 4.32
1.0 0.1 0.1 20.0 20.0 5.75
1.0 0.1 0.1 20.0 100.0 17.189999999999987
1.0 0.1 0.1 40.0 0.01 2.664285714285715
1.0 0.1 0.1 40.0 0.02 2.664285714285715
1.0 0.1 0.1 40.0 0.05 2.7128571428571426
1.0 0.1 0.1 40.0 0.1 2.7142857142857153
1.0 0.1 0.1 40.0 0.2 2.8042857142857143
1.0 0.1 0.1 40.0 0.5 2.955714285714286
1.0 0.1 0.1 40.0 1.0 3.0985714285714283
1.0 0.1 0.1 40.0 2.0 3.358571428571431
1.0 0.1 0.1 40.0 5.0 3.8342857142857114
1.0 0.1 0.1 40.0 10.0 4.40571428571429
1.0 0.1 0.1 40.0 20.0 5.207142857142855
1.0 0.1 0.1 40.0 100.0 11.61857142857136
1.0 0.1 10.0 1.0 0.01 1.32
1.0 0.1 10.0 1.0 0.02 1.24
1.0 0.1 10.0 1.0 0.05 1.27
1.0 0.1 10.0 1.0 0.1 1.31
1.0 0.1 10.0 1.0 0.2 1.44
1.0 0.1 10.0 1.0 0.5 1.82
1.0 0.1 10.0 1.0 1.0 2.4
1.0 0.1 10.0 1.0 2.0 3.06
1.0 0.1 10.0 1.0 5.0 4.72
1.0 0.1 10.0 1.0 10.0 7.13
1.0 0.1 10.0 1.0 20.0 11.1
1.0 0.1 10.0 1.0 100.0 42.85999999999997
1.0 0.1 10.0 1.5 0.01 1.36
1.0 0.1 10.0 1.5 0.02 1.32
1.0 0.1 10.0 1.5 0.05 1.35
1.0 0.1 10.0 1.5 0.1 1.38
1.0 0.1 10.0 1.5 0.2 1.5
1.0 0.1 10.0 1.5 0.5 1.84
1.0 0.1 10.0 1.5 1.0 2.32
1.0 0.1 10.0 1.5 2.0 2.88
1.0 0.1 10.0 1.5 5.0 4.31
1.0 0.1 10.0 1.5 10.0 6.47
1.0 0.1 10.0 1.5 20.0 10.4
1.0 0.1 10.0 1.5 100.0 41.83999999999999
1.0 0.1 10.0 2.4 0.01 1.46
1.0 0.1 10.0 2.4 0.02 1.43
1.0 0.1 10.0 2.4 0.05 1.48
1.0 0.1 10.0 2.4 0.1 1.5
1.0 0.1 10.0 2.4 0.2 1.59
1.0 0.1 10.0 2.4 0.5 1.88
1.0 0.1 10.0 2.4 1.0 2.26
1.0 0.1 10.0 2.4 2.0 2.71
1.0 0.1 10.0 2.4 5.0 3.88
1.0 0.1 10.0 2.4 10.0 5.67
1.0 0.1 10.0 2.4 20.0 9.14
1.0 0.1 10.0 2.4 100.0 36.89999999999999
1.0 0.1 10.0 3.6 0.01 1.57
1.0 0.1 10.0 3.6 0.02 1.55
1.0 0.1 10.0 3.6 0.05 1.58
1.0 0.1 10.0 3.6 0.1 1.6
1.0 0.1 10.0 3.6 0.2 1.71
1.0 0.1 10.0 3.6 0.5 1.95
1.0 0.1 10.0 3.6 1.0 2.27
1.0 0.1 10.0 3.6 2.0 2.64
1.0 0.1 10.0 3.6 5.0 3.61
1.0 0.1 10.0 3.6 10.0 5.13
1.0 0.1 10.0 3.6 20.0 8.11
1.0 0.1 10.0 3.6 100.0 31.94999999999998
1.0 0.1 10.0 5.5 0.01 1.69
1.0 0.1 10.0 5.5 0.02 1.68
1.0 0.1 10.0 5.5 0.05 1.71
1.0 0.1 10.0 5.5 0.1 1.73
1.0 0.1 10.0 5.5 0.2 1.84
1.0 0.1 10.0 5.5 0.5 2.05
1.0 0.1 10.0 5.5 1.0 2.33
1.0 0.1 10.0 5.5 2.0 2.66
1.0 0.1 10.0 5.5 5.0 3.46
1.0 0.1 10.0 5.5 10.0 4.7
1.0 0.1 10.0 5.5 20.0 7.13
1.0 0.1 10.0 5.5 100.0 26.569999999999975
1.0 0.1 10.0 8.5 0.01 1.84
1.0 0.1 10.0 8.5 0.02 1.83
1.0 0.1 10.0 8.5 0.05 1.86
1.0 0.1 10.0 8.5 0.1 1.89
1.0 0.1 10.0 8.5 0.2 1.98
1.0 0.1 10.0 8.5 0.5 2.18
1.0 0.1 10.0 8.5 1.0 2.43
1.0 0.1 10.0 8.5 2.0 2.72
1.0 0.1 10.0 8.5 5.0 3.42
1.0 0.1 10.0 8.5 10.0 4.43
1.0 0.1 10.0 8.5 20.0 6.39
1.0 0.1 10.0 8.5 100.0 22.069999999999993
1.0 0.1 10.0 13.0 0.01 1.99
1.0 0.1 10.0 13.0 0.02 2.01
1.0 0.1 10.0 13.0 0.05 2.02
1.0 0.1 10.0 13.0 0.1 2.05
1.0 0.1 10.0 13.0 0.2 2.14
1.0 0.1 10.0 13.0 0.5 2.32
1.0 0.1 10.0 13.0 1.0 2.55
1.0 0.1 10.0 13.0 2.0 2.82
1.0 0.1 10.0 13.0 5.0 3.46
1.0 0.1 10.0 13.0 10.0 4.35
1.0 0.1 10.0 13.0 20.0 5.96
1.0 0.1 10.0 13.0 100.0 18.839999999999996
1.0 0.1 10.0 20.0 0.01 2.17
1.0 0.1 10.0 20.0 0.02 2.18
1.0 0.1 10.0 20.0 0.05 2.19
1.0 0.1 10.0 20.0 0.1 2.23
1.0 0.1 10.0 20.0 0.2 2.31
1.0 0.1 10.0 20.0 0.5 2.49
1.0 0.1 10.0 20.0 1.0 2.69
1.0 0.1 10.0 20.0 2.0 2.95
1.0 0.1 10.0 20.0 5.0 3.56
1.0 0.1 10.0 20.0 10.0 4.37
1.0 0.1 10.0 20.0 20.0 5.77
1.0 0.1 10.0 20.0 100.0 16.96999999999999
1.0 0.1 10.0 40.0 0.01 2.6842857142857146
1.0 0.1 10.0 40.0 0.02 2.6657142857142873
1.0 0.1 10.0 40.0 0.05 2.6757142857142853
1.0 0.1 10.0 40.0 0.1 2.7442857142857147
1.0 0.1 10.0 40.0 0.2 2.7957142857142854
1.0 0.1 10.0 40.0 0.5 2.975714285714286
1.0 0.1 10.0 40.0 1.0 3.0900000000000007
1.0 0.1 10.0 40.0 2.0 3.3214285714285743
1.0 0.1 10.0 40.0 5.0 3.8457142857142856
1.0 0.1 10.0 40.0 10.0 4.427142857142857
1.0 0.1 10.0 40.0 20.0 5.227142857142853
1.0 0.1 10.0 40.0 100.0 11.62714285714284
1.0 0.1 1000.0 1.0 0.01 1.59
1.0 0.1 1000.0 1.0 0.02 1.63
1.0 0.1 1000.0 1.0 0.05 1.7
1.0 0.1 1000.0 1.0 0.1 1.75
1.0 0.1 1000.0 1.0 0.2 1.83
1.0 0.1 1000.0 1.0 0.5 2.3
1.0 0.1 1000.0 1.0 1.0 3.12
1.0 0.1 1000.0 1.0 2.0 3.99
1.0 0.1 1000.0 1.0 5.0 6.21
1.0 0.1 1000.0 1.0 10.0 8.88
1.0 0.1 1000.0 1.0 20.0 11.3
1.0 0.1 1000.0 1.0 100.0 30.660000000000004
1.0 0.1 1000.0 1.5 0.01 1.63
1.0 0.1 1000.0 1.5 0.02 1.67
1.0 0.1 1000.0 1.5 0.05 1.72
1.0 0.1 1000.0 1.5 0.1 1.77
1.0 0.1 1000.0 1.5 0.2 1.89
1.0 0.1 1000.0 1.5 0.5 2.31
1.0 0.1 1000.0 1.5 1.0 3.02
1.0 0.1 1000.0 1.5 2.0 3.83
1.0 0.1 1000.0 1.5 5.0 6.01
1.0 0.1 1000.0 1.5 10.0 9.41
1.0 0.1 1000.0 1.5 20.0 14.0
1.0 0.1 1000.0 1.5 100.0 50.719999999999985
1.0 0.1 1000.0 2.4 0.01 1.7
1.0 0.1 1000.0 2.4 0.02 1.72
1.0 0.1 1000.0 2.4 0.05 1.77
1.0 0.1 1000.0 2.4 0.1 1.81
1.0 0.1 1000.0 2.4 0.2 1.93
1.0 0.1 1000.0 2.4 0.5 2.32
1.0 0.1 1000.0 2.4 1.0 2.9
1.0 0.1 1000.0 2.4 2.0 3.55
1.0 0.1 1000.0 2.4 5.0 5.35
1.0 0.1 1000.0 2.4 10.0 8.59
1.0 0.1 1000.0 2.4 20.0 15.4
1.0 0.1 1000.0 2.4 100.0 69.87999999999997
1.0 0.1 1000.0 3.6 0.01 1.77
1.0 0.1 1000.0 3.6 0.02 1.79
1.0 0.1 1000.0 3.6 0.05 1.83
1.0 0.1 1000.0 3.6 0.1 1.87
1.0 0.1 1000.0 3.6 0.2 1.99
1.0 0.1 1000.0 3.6 0.5 2.34
1.0 0.1 1000.0 3.6 1.0 2.81
1.0 0.1 1000.0 3.6 2.0 3.36
1.0 0.1 1000.0 3.6 5.0 4.82
1.0 0.1 1000.0 3.6 10.0 7.27
1.0 0.1 1000.0 3.6 20.0 13.4
1.0 0.1 1000.0 3.6 100.0 62.43999999999996
